number of trees with integer branch lengths: 48
WARNING: 48 trees exhibit unifurcation from root, which is not possible under current model. Such nodes will be ommitted from likelihood calculation
params = [0.4961240016999011, 0.367971139013062]
alleles	logLikelihood
36	-78.3037568547
36	-78.3037568547
35	-79.3153577664
35	-79.3153577664
36	-79.4023691434
36	-79.4023691434
35	-79.5302025149
35	-80.1363383185
35	-80.1363383185
36	-80.4056712522
36	-80.4056712522
35	-80.6288148036
35	-80.6288148036
36	-80.6364468747
36	-80.7642802462
35	-81.6516082557
36	-81.8628925348
35	-81.8628925348
35	-81.8628925348
35	-81.8628925348
36	-81.8628925348
36	-81.8628925348
35	-82.0102172496
35	-82.0102172496
35	-82.8744934465
36	-83.0969702661
35	-83.1088295383
35	-83.1088295383
35	-83.2771648531
35	-83.7149653418
35	-84.1384489554
35	-84.1526335904
35	-84.1526335904
36	-84.3429072695
35	-84.3429072695
36	-84.3429072695
35	-84.3615925068
35	-84.3757771418
35	-84.5112425844
35	-84.758769394
35	-84.758769394
35	-84.9819129453
35	-85.609854873
35	-85.609854873
35	-86.6394742902
35	-86.6763788472
35	-86.6763788472
35	-86.8995223985
